"Account Number","Suite","House Number","Street Name","Neighbourhood ID","Neighbourhood","Ward","Assessed Value","Tax Class","Garage","Assessment Class 1","Assessment Class 2","Assessment Class 3","Assessment Class % 1","Assessment Class % 2","Assessment Class % 3","Latitude","Longitude","Point Location"
"4058129",,"870","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058137",,"872","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","149500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058145",,"874","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","151500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058152",,"876","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058160",,"878","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058178",,"880","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","153500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058186",,"882","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","144500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058194",,"884","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058210",,"886","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","150000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058228",,"888","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058236",,"890","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058244",,"892","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058251",,"894","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","147000","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058269",,"896","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","169500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
"4058277",,"898","ABBOTTSFIELD ROAD NW","2010","ABBOTTSFIELD","Métis","169500","Residential","N","RESIDENTIAL",,,"100",,,"53.57632901357068","-113.39230350026378","POINT (-113.39230350026378 53.57632901357068)"
